epoch,train_loss
1,1.5982185167686962
2,1.2103808004165364
3,1.0403277450632826
4,0.8758507972565767
5,0.7576902848537838
6,0.6489992498237396
7,0.5705714565571224
8,0.4715940244844027
9,0.41322710079567454
10,0.33045715873486525
11,0.24764456035934876
12,0.2227709843455074
13,0.17407605817941862
14,0.1569019447420245
15,0.1572336613017822
16,0.11147940395591414
17,0.10783065952987314
18,0.104543739459782
19,0.07938066915234673
20,0.05751584947248486
21,0.044136440851421
22,0.038316973389309145
23,0.031283317516758065
24,0.03290619373878586
25,0.02490712573455873
26,0.02303480325597469
27,0.02385729335457365
28,0.026610192398880128
29,0.02148208514761145
30,0.018944969122237133
31,0.01748575628778645
32,0.015664881704566636
33,0.016238652169704437
34,0.0300702723874667
35,0.044902897744535285
36,0.04175351758565858
37,0.028938155029421656
38,0.01754513273241921
39,0.01135485067476179
40,0.011601154004859032
41,0.011866710662284743
42,0.011893260492899708
43,0.008378640748560429
44,0.008952342574354087
45,0.00473174109846075
46,0.005308352578344329
47,0.0046692970861619875
48,0.0037812481712654372
49,0.004405373219992513
50,0.0036197326920717676
