epoch,train_loss
1,1.8067237072520785
2,1.5289492342207167
3,1.365552951892217
4,1.2401841878890991
5,1.122242785162396
6,1.0303646922111511
7,0.8924810141324997
8,0.7829121119446225
9,0.7322559307018915
10,0.6144701772265964
11,0.5133690759539604
12,0.4799064588215616
13,0.403726239171293
14,0.31843768308560055
15,0.26019568741321564
16,0.2286366323630015
17,0.17896518007748657
18,0.17442130400902695
19,0.13035502326157358
20,0.11807484552264214
21,0.0994860768939058
22,0.07949936814192268
23,0.08029395052128369
24,0.08797758258879185
25,0.06607291283499864
26,0.04483156118334995
27,0.043428879541655384
28,0.036911076245208584
29,0.04239176932929291
30,0.040121093573462635
31,0.06369679074527489
32,0.10037056680044366
33,0.06930860209589203
34,0.04123958298522565
35,0.02138284977991134
36,0.01661293350237732
37,0.022856739601896454
38,0.01374136375832475
39,0.01734565689952837
40,0.015377273026388139
41,0.02793298633251753
42,0.09570530984395494
43,0.1865961311591996
44,0.12624638848420647
45,0.06915788673278359
46,0.04495409640690519
47,0.0434487396851182
48,0.05534107403622733
49,0.037752069778636925
50,0.024252766200030845
