step,train_loss
10,2.0758
20,2.08
30,2.0301
40,2.0608
50,1.9327
60,1.869
70,2.0714
80,1.8961
90,1.8162
100,1.6782
110,1.8739
120,1.9429
130,1.7416
140,1.5594
150,1.5771
160,1.639
170,1.4744
180,1.4985
190,1.2036
200,1.1758
210,1.5664
220,1.2961
230,1.0724
240,1.1792
250,1.1716
260,1.2991
270,1.1849
280,0.8713
290,1.0038
300,1.0752
310,1.0436
320,0.9364
330,0.9909
340,0.6454
350,1.004
360,0.7021
370,0.5966
380,0.59
390,0.7952
400,0.8255
410,0.9519
420,0.9934
430,0.7347
440,0.9495
450,0.8915
460,0.6478
470,0.5964
480,0.5227
490,0.5626
500,0.415
510,0.5283
520,0.3892
530,0.3256
540,0.3863
550,0.4165
560,0.8484
570,0.715
580,0.3997
590,0.5231
600,0.4399
610,0.4976
620,0.4178
630,0.8261
640,0.6151
650,0.4066
660,0.3717
670,0.3176
680,0.3272
690,0.3523
700,0.417
710,0.3923
720,0.4302
730,0.4736
740,0.3058
750,0.2757
760,0.256
770,0.4593
780,0.3998
790,0.3903
800,0.3037
810,0.2304
820,0.332
830,0.1268
840,0.1074
850,0.4927
860,0.4232
870,0.1999
880,0.0738
890,0.2973
900,0.1659
910,0.2783
920,0.1928
930,0.1544
940,0.2517
950,0.0335
960,0.0911
970,0.0636
980,0.1213
990,0.1353
1000,0.1815
1010,0.2206
1020,0.2275
1030,0.1815
1040,0.2787
1050,0.1899
1060,0.0241
1070,0.5174
1080,0.309
1090,0.295
1100,0.1581
1110,0.1474
1120,0.1678
1130,0.0416
1140,0.0798
1150,0.3269
1160,0.2121
1170,0.3341
1180,0.1433
1190,0.1792
1200,0.0464
1210,0.0831
1220,0.0516
1230,0.1235
1240,0.1492
1250,0.0016
1260,0.1412
1270,0.1034
1280,0.0895
1290,0.0786
1300,0.0039
1310,0.1095
1320,0.0718
1330,0.0209
1340,0.0264
1350,0.0028
1360,0.046
1370,0.0045
1380,0.0942
1390,0.0013
1400,0.0012
1410,0.0657
1420,0.108
1430,0.1347
1440,0.1357
1450,0.096
1460,0.0343
1470,0.2912
1480,0.0574
1490,0.0022
1500,0.233
1510,0.1724
1520,0.0252
1530,0.0502
1540,0.1356
1550,0.0022
1560,0.3029
1570,0.0892
1580,0.0206
1590,0.0766
1600,0.0015
1610,0.1683
1620,0.0872
1630,0.0009
1640,0.0039
1650,0.1377
1660,0.2565
1670,0.0943
1680,0.001
1690,0.1671
1700,0.0662
1710,0.0006
1720,0.0023
1730,0.0008
1740,0.0244
1750,0.0021
1760,0.0051
1770,0.0849
1780,0.0655
1790,0.0007
1800,0.0005
1810,0.0008
1820,0.0087
1830,0.0844
1840,0.0007
1850,0.0007
1860,0.0014
1870,0.0914
1880,0.0015
1890,0.1218
1900,0.0016
1910,0.1153
1920,0.0046
1930,0.1544
1940,0.0614
1950,0.0743
1960,0.0154
1970,0.0005
1980,0.0008
1990,0.001
2000,0.0763
2010,0.0832
2020,0.0008
2030,0.0966
2040,0.1374
2050,0.0109
2060,0.0839
2070,0.0013
2080,0.0004
2090,0.0005
2100,0.2153
2110,0.0885
2120,0.0016
2130,0.0002
2140,0.1247
2150,0.1315
2160,0.0012
2170,0.0004
2180,0.0002
2190,0.095
2200,0.0957
2210,0.0003
2220,0.1572
2230,0.0608
2240,0.1116
2250,0.1104
2260,0.0032
