step,train_loss
10,2.0686
20,2.0627
30,2.0759
40,2.0529
50,2.0487
60,2.0112
70,1.9197
80,1.833
90,1.8109
100,1.7639
110,1.6898
120,1.7043
130,1.4891
140,1.5033
150,1.5558
160,1.3141
170,1.4332
180,1.2468
190,1.1282
200,1.1478
210,1.2206
220,1.2597
230,1.1718
240,1.1828
250,1.3585
260,1.2435
270,1.0557
280,1.3086
290,0.9103
300,1.0171
310,1.1538
320,1.1008
330,1.139
340,1.3525
350,0.818
360,1.1586
370,1.2197
380,1.302
390,1.0489
400,1.0003
410,0.8342
420,0.9755
430,0.9469
440,0.9475
450,0.9811
460,0.88
470,0.9913
480,0.8641
490,0.9406
500,0.758
510,0.6994
520,0.6049
530,1.0
540,0.6969
550,0.4616
560,0.7367
570,0.8668
580,0.7226
590,0.6001
600,0.7378
610,0.5148
620,0.4264
630,0.8598
640,0.6868
650,0.7262
660,0.6854
670,0.6736
680,0.669
690,0.5258
700,0.443
710,0.5847
720,0.7756
730,0.7434
740,0.3996
750,0.297
760,0.4404
770,0.2995
780,0.4863
790,0.305
800,0.4193
810,0.3761
820,0.4157
830,0.6659
840,0.6545
850,0.5644
860,0.2751
870,0.2953
880,0.4398
890,0.2332
900,0.4287
910,0.3494
920,0.295
930,0.1912
940,0.2636
950,0.3006
960,0.3168
970,0.3714
980,0.2264
990,0.2317
1000,0.154
1010,0.1021
1020,0.3788
1030,0.21
1040,0.3446
1050,0.2811
1060,0.2105
1070,0.2072
1080,0.1214
1090,0.0557
1100,0.0755
1110,0.0837
1120,0.1379
1130,0.1481
1140,0.1576
1150,0.1136
1160,0.2037
1170,0.1781
1180,0.1988
1190,0.0222
1200,0.0223
1210,0.0589
1220,0.1156
1230,0.1452
1240,0.1338
1250,0.2194
1260,0.0851
1270,0.0639
1280,0.0136
1290,0.1847
1300,0.1563
1310,0.1188
1320,0.0165
1330,0.1412
1340,0.0593
1350,0.0488
1360,0.0629
1370,0.0538
1380,0.0495
