step,train_loss
10,2.0846
20,2.0694
30,2.0833
40,2.0418
50,2.0004
60,1.8866
70,1.7954
80,1.765
90,1.8584
100,1.6153
110,1.5595
120,1.7481
130,1.6191
140,1.4001
150,1.3457
160,1.2441
170,1.2428
180,1.3653
190,1.3196
200,1.2414
210,1.2653
220,1.3094
230,1.3206
240,1.1472
250,1.0569
260,0.9535
270,0.8739
280,0.8707
290,0.9195
300,1.1712
310,0.8595
320,0.6456
330,0.8889
340,0.9096
350,1.0569
360,0.7022
370,0.6255
380,0.6073
390,0.459
400,0.7358
410,0.6173
420,0.7734
430,0.6207
440,0.612
450,0.5169
460,0.3843
470,0.4143
480,0.4209
490,0.4945
500,0.3968
510,0.5058
520,0.4704
530,0.5507
540,0.3882
550,0.3509
560,0.253
570,0.2054
580,0.2788
590,0.6908
600,0.4707
610,0.3783
620,0.5045
630,0.1474
640,0.2355
650,0.3221
660,0.1897
670,0.3724
680,0.2093
690,0.179
700,0.2851
710,0.2655
720,0.2298
730,0.173
740,0.1314
750,0.1933
760,0.3735
770,0.2293
780,0.0561
790,0.1627
800,0.1051
810,0.2838
820,0.4655
830,0.0916
840,0.1191
850,0.1936
860,0.1085
870,0.1893
880,0.2444
890,0.1082
900,0.1366
910,0.1663
920,0.1086
930,0.136
940,0.0737
950,0.0807
960,0.0803
970,0.1634
980,0.1348
990,0.2582
1000,0.0573
1010,0.0632
1020,0.0398
1030,0.2491
1040,0.1616
1050,0.0513
1060,0.0029
1070,0.044
1080,0.0126
1090,0.0703
1100,0.0374
1110,0.0718
1120,0.1119
1130,0.0387
1140,0.0389
1150,0.0539
1160,0.0347
1170,0.1072
1180,0.0334
1190,0.1077
1200,0.0146
1210,0.0384
1220,0.0523
1230,0.0116
1240,0.0562
1250,0.0077
1260,0.0205
1270,0.0058
1280,0.0612
1290,0.0007
1300,0.0158
1310,0.0008
1320,0.0255
1330,0.0396
1340,0.0004
1350,0.0794
1360,0.0027
1370,0.0584
1380,0.0004
1390,0.001
1400,0.0006
1410,0.0541
1420,0.0011
1430,0.0008
1440,0.0055
1450,0.0246
1460,0.0019
1470,0.0406
1480,0.0095
1490,0.0004
1500,0.0008
1510,0.0003
1520,0.0004
1530,0.0007
1540,0.0004
1550,0.0006
1560,0.0482
