step,train_loss
10,2.0803
20,2.0801
30,2.0759
40,2.068
50,2.0737
60,2.0618
70,2.0541
80,2.029
90,2.0372
100,1.9936
110,1.9493
120,1.9319
130,1.9075
140,1.8401
150,1.8635
160,1.8236
170,1.7898
180,1.7508
190,1.7271
200,1.6578
210,1.612
220,1.5084
230,1.6167
240,1.4446
250,1.3924
260,1.3855
270,1.3677
280,1.2778
290,1.3779
300,1.2174
310,1.188
320,1.1142
330,1.0975
340,1.0879
350,1.0282
360,1.0367
370,0.9813
380,0.8749
390,0.7968
400,0.7951
410,0.83
420,0.7836
430,0.7696
440,0.6584
450,0.5729
460,0.6857
470,0.6759
480,0.6865
490,0.5497
500,0.5679
510,0.4738
520,0.5142
530,0.4388
540,0.4099
550,0.3199
560,0.3318
570,0.3727
580,0.3026
590,0.3103
600,0.2924
610,0.2508
620,0.1598
630,0.2732
640,0.2571
650,0.2924
660,0.2554
670,0.2734
680,0.1865
690,0.1497
700,0.1782
710,0.2213
720,0.2564
730,0.1478
740,0.0821
750,0.1642
760,0.0832
770,0.1033
780,0.0873
790,0.0656
800,0.0622
810,0.1266
820,0.0856
830,0.0474
840,0.0741
850,0.0309
860,0.0631
870,0.1256
880,0.0603
890,0.0948
900,0.099
910,0.0978
920,0.0463
930,0.1137
940,0.1338
950,0.0751
960,0.017
970,0.0538
980,0.077
990,0.0388
1000,0.0959
1010,0.0166
1020,0.1535
1030,0.0308
1040,0.0119
1050,0.0144
1060,0.0221
1070,0.0398
1080,0.032
1090,0.0087
1100,0.0608
1110,0.0089
1120,0.0083
1130,0.0082
1140,0.0077
1150,0.0192
1160,0.0074
1170,0.0078
1180,0.0073
1190,0.0064
1200,0.0395
1210,0.0275
1220,0.0062
1230,0.0059
1240,0.0063
1250,0.0179
1260,0.0173
1270,0.0354
1280,0.0479
1290,0.0056
1300,0.0056
1310,0.0052
1320,0.0054
