step,train_loss
10,1.9251
20,1.8522
30,1.516
40,1.1807
50,0.9404
60,0.672
70,0.4884
80,0.3683
90,0.2522
100,0.1615
110,0.1166
120,0.0778
130,0.0448
140,0.0636
