step,train_loss
10,2.0775
20,2.0715
30,2.0252
40,2.0384
50,2.0334
60,1.9893
70,1.8689
80,1.8951
90,1.8894
100,1.8317
110,1.7829
120,1.7817
130,1.7526
140,1.6766
150,1.5552
160,1.6933
170,1.5347
180,1.549
190,1.3237
200,1.3411
210,1.4025
220,1.2954
230,1.2507
240,1.2325
250,1.0832
260,1.144
270,1.2328
280,1.0109
290,1.1168
300,1.1563
310,1.0834
320,0.9805
330,1.0559
340,1.1673
350,0.9682
360,0.842
370,0.7539
380,0.7115
390,0.8575
400,0.8331
410,0.6934
420,0.6542
430,0.7942
440,0.676
450,0.7825
460,0.7179
470,0.6693
480,0.5562
490,0.5712
500,0.4137
510,0.4557
520,0.426
530,0.392
540,0.5234
550,0.5648
560,0.6314
570,0.3844
580,0.4075
590,0.6104
600,0.6166
610,0.3722
620,0.3881
630,0.2464
640,0.3453
650,0.4106
660,0.3471
670,0.3033
680,0.4833
690,0.3982
700,0.2065
710,0.2717
720,0.3665
730,0.2436
740,0.2992
750,0.3491
760,0.3168
770,0.1966
780,0.3313
790,0.3197
800,0.3015
810,0.2603
820,0.3122
830,0.1139
840,0.2774
850,0.1346
860,0.1932
870,0.1357
880,0.2817
890,0.1126
900,0.2271
910,0.0554
920,0.1176
930,0.1162
940,0.1644
950,0.2843
960,0.188
970,0.17
980,0.1133
990,0.082
1000,0.0785
1010,0.045
1020,0.0186
1030,0.1197
1040,0.0156
1050,0.1572
1060,0.1043
1070,0.2107
1080,0.1155
1090,0.0128
1100,0.1734
1110,0.1356
1120,0.1182
1130,0.0761
1140,0.0119
1150,0.2003
1160,0.0598
1170,0.1292
1180,0.223
1190,0.0109
1200,0.0239
1210,0.0699
1220,0.0154
1230,0.0066
1240,0.0072
1250,0.0833
1260,0.0671
1270,0.1113
1280,0.0939
1290,0.1766
1300,0.0738
1310,0.1316
1320,0.0068
1330,0.0051
1340,0.0232
1350,0.0075
1360,0.005
1370,0.071
1380,0.0247
1390,0.0335
1400,0.1366
1410,0.0934
1420,0.0067
1430,0.0043
1440,0.004
1450,0.0641
1460,0.1244
1470,0.0665
1480,0.004
1490,0.0036
1500,0.0034
1510,0.0523
1520,0.003
1530,0.003
1540,0.0029
1550,0.003
1560,0.1902
1570,0.0033
1580,0.0034
1590,0.003
1600,0.0737
1610,0.0026
1620,0.0754
1630,0.0026
1640,0.004
1650,0.0027
1660,0.0043
