step,train_loss
10,2.0816
20,2.0805
30,2.0809
40,2.0716
50,2.0731
60,2.0638
70,2.0551
80,2.0339
90,2.0434
100,1.9964
110,1.9655
120,1.9136
130,1.8991
140,1.8423
150,1.8098
160,1.8201
170,1.7549
180,1.6795
190,1.6814
200,1.6914
210,1.659
220,1.64
230,1.6563
240,1.4665
250,1.4122
260,1.4372
270,1.3796
280,1.5256
290,1.3608
300,1.4368
310,1.1904
320,1.1393
330,1.2508
340,1.169
350,1.2384
360,1.2917
370,1.0357
380,1.1336
390,0.9748
400,1.0669
410,0.9823
420,0.9972
430,1.1097
440,0.8171
450,0.9171
460,0.813
470,0.8152
480,1.0023
490,0.8049
500,0.7305
510,0.7732
520,0.8609
530,0.7407
540,0.6925
550,0.7111
560,0.5882
570,0.5494
580,0.6053
590,0.6304
600,0.5494
610,0.6509
620,0.5833
630,0.6525
640,0.6534
650,0.4976
660,0.5473
670,0.4149
680,0.3854
690,0.4432
700,0.4456
710,0.4536
720,0.3752
730,0.3988
740,0.4665
750,0.3627
760,0.5057
770,0.3032
780,0.3506
790,0.3388
800,0.2415
810,0.2873
820,0.277
830,0.4858
840,0.3773
850,0.2449
860,0.3416
870,0.2462
880,0.2844
890,0.3723
900,0.1641
910,0.1656
920,0.2254
930,0.2897
940,0.1545
950,0.2739
960,0.1614
970,0.1127
980,0.2956
990,0.1535
1000,0.1744
1010,0.1058
1020,0.0816
1030,0.205
1040,0.2009
1050,0.1701
1060,0.1637
1070,0.1223
1080,0.304
1090,0.1516
1100,0.0706
1110,0.0946
1120,0.1484
1130,0.1158
1140,0.1031
1150,0.088
1160,0.0701
1170,0.1302
1180,0.4448
1190,0.2483
1200,0.1605
1210,0.1436
1220,0.0771
1230,0.0738
1240,0.1266
1250,0.1287
1260,0.0776
1270,0.1728
1280,0.0549
1290,0.0917
1300,0.0327
1310,0.0585
1320,0.1805
1330,0.1364
1340,0.0957
1350,0.0268
1360,0.1023
1370,0.1016
1380,0.0692
1390,0.0766
1400,0.0479
1410,0.0607
1420,0.0937
1430,0.0441
1440,0.0977
1450,0.0547
1460,0.1868
1470,0.1252
1480,0.0785
1490,0.0616
1500,0.0462
1510,0.0184
1520,0.2051
1530,0.0245
1540,0.0295
1550,0.1526
1560,0.0417
